Feature,Importance
fico_score,0.8109273120534031
Province_BC,0.04266666666666665
Province_MB,0.02916666666666666
Residential Status_LIVE WITH FAMILY,0.028323324292909683
Gender_FEMALE,0.02678059366038904
Residential Status_RENTING,0.013786764705882346
Residential Status_HOME OWNER,0.013333333333333327
Residential Status_RENTER,0.013333333333333327
Province_NB,0.012679029096939583
Province_ON,0.009002976190476191
Gender_MALE,0.0
Province_AB,0.0
Province_NFLD,0.0
Province_NS,0.0
Province_PEI,0.0
Province_SK,0.0
