,0
724,-0.0862767784018462
725,-0.0862767784018462
2325,0.19325237839209208
2326,0.19325237839209208
3874,-0.14527958273876074
3875,-0.14527958273876074
3876,-0.14527958273876074
4661,0.006439440858240261
4662,0.006439440858240261
5651,-0.09721943654145376
5652,-0.09721943654145376
6521,0.007834178516164567
6522,0.007834178516164567
7041,0.017914532241270945
7042,0.017914532241270945
7794,0.05115338063568735
7795,0.05115338063568735
8243,0.5777130760015013
8244,0.5777130760015013
8744,-0.07752211653967565
8745,-0.07752211653967565
9026,0.008337926743997623
9027,0.008337926743997623
9374,-0.07475409825677026
9375,-0.07475409825677026
9629,0.07376004313039165
9630,0.07376004313039165
9870,0.09583270939032831
9871,0.09583270939032831
10085,0.33397573241770134
10086,0.33397573241770134
10304,0.13331575969179166
10305,0.13331575969179166
10704,0.1362108736142788
10705,0.1362108736142788
10706,0.1362108736142788
10817,-0.03896396262875833
10818,-0.03896396262875833
10903,0.06988640140527744
10904,0.06988640140527744
10968,-0.054283760788810864
10969,-0.054283760788810864
